;utente;commento;hotel;dataIns;rating
0;magix20;Hotel accogliente e situato in ottima posizione, a due passi dal centro pedonale e dalla stazione ferroviaria. Personale sempre molto disponibile e professionale, sia alla reception che in sala ristorazione (colazione sempre varia e ben fornita). Ci sono già stato a dicembre scorso e tornatoci ad aprile di quest'anno, ho avuto conferma del giudizio positivo già sperimentato in precedenza.Più;Hotel Royal Falcone;2019-07-14;
1;magix20;Struttura in pieno centro sulla via dello shopping, adiacente il lungomare. Abbiamo utilizzato un cofanetto Smartbox comprendente un percorso benessere, per un soggiorno anche se solo per una notte, trascorso in pieno relax. Personale molto disponibile e professionale, sia all'atto della prenotazione telefonica (Angelo) che all'accoglienza (Marcello). Esperienza sicuramente degna di replica.;Hotel De Londres;2019-07-14;
2;magix20;Piazza molto bella, dal punto di vista architettonico andaluso con le sue ceramiche tipiche, i mosaici e le colonne. Una delle attrattive da non perdere a Siviglia.;Plaza de Espana;2019-07-14;
3;magix20;Uno dei luoghi più affascinanti di Siviglia e dell'intera Andalucia, una commistione di storia con l'architettura che presenta le varie fasi di edificazione, da quella moresca a quella cristiana. Spazi immensi e verde curatissimo.;Alcazar;2019-07-14;
4;magix20;Una moderna struttura nel centro della città che fa' da contraltare ad un centro storico di tutt'altro aspetto. Luogo dove potersi rilassare dopo essere stati immersi nella storia.;Metropol Parasol;2019-07-14;
5;magix20;Uno dei tanti luoghi a Siviglia impregnato di storia, in cui ammirare l'architettura Mudejar, con la combinazione di pavimenti in marmo e soffitti con decorazioni in stucco. Dappertutto piastrelle coloratissime.;La Casa de Pilatos;2019-07-14;
6;magix20;Struttura moderna, fuori dal centro città ma ben collegata ad essa mediante servizio bus. Ideale per chi vi giunge fornito di mezzo proprio. Parcheggio libero davanti all'hotel, che offre anche quello proprio ad un modico costo.Più;Hotel San Pablo Sevilla;2019-07-14;
7;magix20;"In centro, a pochi passi dalla Cattedrale, in una via però non accessibile con autovettura (parcheggio convenzionato comunque non molto lontano). La struttura è carina e ben arredate sono sia la camera che l'ambiente dove viene servita la prima colazione; quest'ultima, benché situata in un locale adiacente, risulta essere fuori dalla stessa.Disponibili si sono rivelati Céline e particolarmente Alejandro.Più";Casa de Federico;2019-07-14;
8;magix20;Esperienza indimenticabile a cavallo di storia e culture diverse, dove si intrecciano quella araba e quella cristiana.  ;L'Alhambra;2019-07-14;
9;magix20;Immersi nella natura, tra verde e fiori in un paesaggio stupendo e ben tenuto, oltre che curato nei particolari. Una veduta dall'alto dei quartieri di Albaicin e Sacromonte. ;Generalife;2019-07-14;
10;magix20;Una vista panoramica che permette di vedere proprio di fronte a se' l'Alhambra nella sua spettacolarità. ;Mirador de San Nicolas;2019-07-14;
11;magix20;Barrio caratteristico della Ciudad. E' il quartiere dei locali tipici, nei quali decidere di trascorrere la serata immersi nella vera essenza di Granada. ;Albaicin;2019-07-14;
